date,close,volume,change
2023-07-25,80142,4380,0.0036376631588921683
2023-07-26,76548,26341,-0.045882066175204704
2023-07-27,79657,15352,0.039811921941287236
2023-07-28,81600,11567,0.024099344980955603
2023-07-31,80045,21020,-0.019240285440003547
2023-08-01,80531,16791,0.006053226932818311
2023-08-02,80337,6788,-0.0024119165284208787
2023-08-03,81697,9543,0.016786994551074675
2023-08-04,82862,10137,0.014159291971151573
2023-08-07,84417,8904,0.018592229663530427
2023-08-08,84320,8076,-0.0011497183271597198
2023-08-09,89177,40162,0.05600407401088846
2023-08-10,91120,17695,0.02155416033498601
2023-08-11,90828,12398,-0.00320971102389602
2023-08-14,92480,12197,0.018024796809036618
2023-08-16,92771,16294,0.0031416860297876774
2023-08-17,91217,16821,-0.01689280773577278
2023-08-18,90342,5682,-0.009638814649120883
2023-08-21,91022,8456,0.007498766970832427
2023-08-22,91022,8782,0.0
2023-08-23,92091,6120,0.011675983076863097
2023-08-24,92188,5616,0.0010527516315873978
2023-08-25,92188,7908,0.0
2023-08-28,90925,5560,-0.013794979375191373
2023-08-29,92285,9288,0.014846623886201773
2023-08-30,93645,9675,0.014629422422562596
2023-08-31,94617,14842,0.01032612674809602
2023-09-01,94617,15679,0.0
2023-09-04,92771,7115,-0.01970307297605824
2023-09-05,92868,15802,0.0010450391224674862
2023-09-06,91897,12166,-0.010510745425968648
2023-09-07,91120,12793,-0.00849106551142705
2023-09-08,94325,29257,0.03456894671144747
2023-09-11,93742,5452,-0.006199937974283348
2023-09-12,94714,21721,0.010315496658656644
2023-09-13,95491,10853,0.0081701776732941
2023-09-14,96657,12786,0.012136627104035146
2023-09-15,96074,10328,-0.0060499014503368875
2023-09-18,96171,11093,0.0010091290616825836
2023-09-19,96365,3609,0.0020152082275924884
2023-09-20,95782,1668,-0.006068289268509121
2023-09-21,93645,5261,-0.022563738700688583
2023-09-22,94422,10650,0.008263059664965124
2023-09-25,96268,23346,0.019361871823375374
2023-09-26,97628,16334,0.014028368851087254
2023-09-27,97822,7276,0.0019851630975775193
2023-10-04,97822,19430,0.0
2023-10-05,98600,13718,0.007921760989767032
2023-10-06,99280,3086,0.0068728792877620504
2023-10-10,104428,31454,0.050553697826917876
2023-10-11,104137,11524,-0.0027904987781449436
2023-10-12,106274,12079,0.020313324704764966
2023-10-13,105205,7074,-0.010109836958614157
2023-10-16,102971,12607,-0.021463432503297436
2023-10-17,103457,9862,0.004708672253272148
2023-10-18,103262,4474,-0.0018866195931595165
2023-10-19,98794,8209,-0.04423257368327299
2023-10-20,91897,16498,-0.07236848951446422
2023-10-23,92382,7103,0.005263769825482959
2023-10-24,92091,6168,-0.0031549358591799292
2023-10-25,90342,4583,-0.01917475004769547
2023-10-26,88400,10842,-0.021730498925363582
2023-10-27,87914,2578,-0.00551290573500268
2023-10-30,91800,9303,0.04325323371784962
2023-10-31,96754,19078,0.05255937709807113
